AccountKey,AccountNumber,CustomerKey,AccountType,OpenDate,AccountStatus,InitialDeposit,AvgMonthlyBalance,AccountRiskLevel
1,ACC000001,61,Savings,2021-06-30,Active,7229,103974,Low
2,ACC000002,47,Savings,2023-12-08,Active,48915,150646,Low
3,ACC000003,21,Current,2023-10-31,Active,5632,141256,High
4,ACC000004,80,Current,2023-08-20,Active,40056,151168,Low
5,ACC000005,85,Savings,2020-05-26,Active,4596,68728,Low
6,ACC000006,75,Current,2023-06-01,Active,45243,166088,Low
7,ACC000007,36,Savings,2023-07-24,Active,7168,12246,High
8,ACC000008,99,Current,2020-12-16,Active,43563,177630,Low
9,ACC000009,19,Savings,2022-12-29,Active,8561,150453,Low
10,ACC000010,20,Current,2024-02-02,Active,9258,128796,Low
11,ACC000011,57,Current,2021-05-16,Active,17616,168527,Medium
12,ACC000012,18,Savings,2020-11-30,Active,27734,93263,Low
13,ACC000013,47,Current,2022-08-04,Active,7371,136090,Medium
14,ACC000014,49,Savings,2022-02-16,Active,27069,12302,Low
15,ACC000015,14,Savings,2021-07-06,Active,15369,68506,Low
16,ACC000016,15,Savings,2023-08-03,Active,13910,42157,Low
17,ACC000017,31,Savings,2023-11-10,Active,8943,55917,Low
18,ACC000018,1,Current,2023-02-14,Active,13199,97646,Low
19,ACC000019,54,Current,2021-03-25,Active,16728,84122,Low
20,ACC000020,3,Current,2023-11-03,Active,24275,25519,Medium
21,ACC000021,16,Savings,2021-10-26,Active,7738,188891,Low
22,ACC000022,87,Current,2024-09-22,Active,16913,81910,Low
23,ACC000023,57,Savings,2024-04-22,Active,36240,121430,Low
24,ACC000024,75,Current,2024-05-08,Active,20123,72324,Low
25,ACC000025,12,Current,2020-04-24,Active,49447,6408,Low
26,ACC000026,74,Current,2021-04-14,Active,35529,60379,Low
27,ACC000027,96,Savings,2024-08-10,Active,11167,26053,Low
28,ACC000028,16,Current,2020-03-06,Active,11554,141518,Medium
29,ACC000029,72,Current,2024-07-06,Active,18260,132994,High
30,ACC000030,76,Savings,2021-10-08,Active,48045,99723,Low
31,ACC000031,24,Current,2022-04-01,Active,4812,52356,Low
32,ACC000032,28,Savings,2021-07-02,Active,29024,11789,Low
33,ACC000033,8,Current,2020-05-15,Active,28285,98720,Low
34,ACC000034,92,Savings,2021-03-08,Active,27900,67656,Low
35,ACC000035,36,Savings,2023-03-07,Active,2605,45028,Low
36,ACC000036,90,Current,2024-11-29,Active,6622,65484,Medium
37,ACC000037,8,Savings,2024-01-10,Active,7767,33154,Low
38,ACC000038,58,Savings,2021-10-06,Active,28139,3336,Low
39,ACC000039,60,Savings,2021-03-11,Active,12613,104677,Low
40,ACC000040,50,Savings,2023-09-04,Active,11589,68779,Low
41,ACC000041,28,Savings,2022-10-19,Active,14918,20029,Low
42,ACC000042,92,Savings,2022-03-21,Active,21119,60201,Low
43,ACC000043,41,Current,2023-08-09,Active,28446,33265,Low
44,ACC000044,100,Savings,2022-07-28,Active,14046,103916,Medium
45,ACC000045,64,Savings,2020-10-19,Active,25818,175944,Low
46,ACC000046,27,Current,2021-06-26,Active,36358,47197,Low
47,ACC000047,63,Current,2020-10-12,Active,5324,126733,Low
48,ACC000048,17,Current,2021-05-20,Active,11787,187252,Low
49,ACC000049,73,Current,2024-03-05,Active,10111,155782,Low
50,ACC000050,33,Current,2023-02-23,Active,39110,161558,Medium
51,ACC000051,84,Current,2023-01-08,Active,17389,72907,Medium
