CustomerKey,CustomerID,FullName,DateOfBirth,Gender,Occupation,MonthlyIncome,CustomerRiskLevel,KYCStatus,CountryOfResidence,PEPFlag
1,CUST00001,Customer_1,1998-09-07,M,Business Owner,65015,Low,Verified,Singapore,0
2,CUST00002,Customer_2,1974-12-30,F,Employee,137096,Low,Verified,Malaysia,0
3,CUST00003,Customer_3,1971-02-14,M,Employee,122059,Low,Verified,Thailand,0
4,CUST00004,Customer_4,2003-04-07,M,Freelancer,125687,Low,Verified,Thailand,0
5,CUST00005,Customer_5,1982-05-04,M,Employee,102939,Low,Verified,Thailand,0
6,CUST00006,Customer_6,1980-12-26,F,Employee,164213,Low,Verified,Thailand,0
7,CUST00007,Customer_7,1980-01-06,M,Employee,120878,High,Verified,Thailand,0
8,CUST00008,Customer_8,1976-04-05,M,Freelancer,179899,Low,Verified,Thailand,0
9,CUST00009,Customer_9,2003-01-14,M,Employee,77623,Low,Verified,Singapore,0
10,CUST00010,Customer_10,1974-08-07,F,Business Owner,90450,Low,Verified,Thailand,0
11,CUST00011,Customer_11,2000-05-10,M,Freelancer,108426,High,Verified,Thailand,0
12,CUST00012,Customer_12,2003-03-24,M,Business Owner,132845,Medium,Verified,Thailand,0
13,CUST00013,Customer_13,2010-01-08,M,Freelancer,168371,Low,Verified,Thailand,0
14,CUST00014,Customer_14,1994-06-19,M,Employee,58585,Low,Verified,Thailand,0
15,CUST00015,Customer_15,1973-11-25,F,Business Owner,124225,Medium,Verified,Thailand,0
16,CUST00016,Customer_16,1996-06-27,M,Freelancer,79044,Low,Verified,Thailand,0
17,CUST00017,Customer_17,1988-12-04,F,Student,188629,Low,Verified,Thailand,0
18,CUST00018,Customer_18,1971-06-05,F,Employee,195152,Low,Verified,Thailand,0
19,CUST00019,Customer_19,1971-05-04,F,Freelancer,124556,Low,Verified,Thailand,1
20,CUST00020,Customer_20,1974-03-16,M,Student,17693,Medium,Verified,Thailand,0
